ProcessName,SubjectUserName,@timestamp,host,Hostname,EventID,SubjectLogonId,ProcessId,LogonType,TargetLogonId,WorkstationName,IpAddress,TargetUserName,PrivilegeList,CommandLine,ParentProcessName,NewProcessId
C:\Windows\System32\wevtutil.exe,SCRANTON$,2020-05-02T03:20:01.052Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xf8c,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:01.052Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x9d0,,,,,,,,,
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02T03:20:01.052Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5,0x3e7,-,-,SYSTEM,,,,
,SYSTEM,2020-05-02T03:20:01.053Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4672,0x3e7,,,,,,,"SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,
,SCRANTON$,2020-05-02T03:20:01.053Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s fhsvc,C:\Windows\System32\services.exe,0x1134
,SCRANTON$,2020-05-02T03:20:01.053Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x3e4,,,SCRANTON$,,C:\windows\System32\svchost.exe -k NetworkService -p -s DoSvc,C:\Windows\System32\services.exe,0x113c
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02T03:20:01.053Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5,0x3e7,-,-,SYSTEM,,,,
,SYSTEM,2020-05-02T03:20:01.053Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4672,0x3e7,,,,,,,"SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,
,SCRANTON$,2020-05-02T03:20:01.054Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\System32\svchost.exe -k NetSvcs -p -s NcaSvc,C:\Windows\System32\services.exe,0x1158
C:\Windows\System32\taskhostw.exe,SCRANTON$,2020-05-02T03:20:01.059Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x824,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:01.059Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""wevtutil.exe"" im C:\WindowsAzure\Packages\GuestAgent\AzureEvents.man",C:\WindowsAzure\Packages\WaAppAgent.exe,0x1274
