ProcessName,SubjectUserName,@timestamp,host,Hostname,EventID,SubjectLogonId,ProcessId,LogonType,TargetLogonId,WorkstationName,IpAddress,TargetUserName,PrivilegeList,CommandLine,ParentProcessName,NewProcessId,is_remote_logon,was_elevated
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:01.052000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:01.053000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:02.097000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:07.529000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 03:20:07.536000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x0,0x0,3.0,0xa5a07,-,-,SCRANTON$,,,,,True,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:08.003000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 03:20:15.313000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61e8e4,-,::1,NEWYORK$,,,,,True,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:15.318000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:21:16.348000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:21:16.401000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:21:18.650000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:21:22.156000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:21:23.329000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 03:17:56.833000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61a7dc,-,::1,NEWYORK$,,,,,True,True
