ProcessName,SubjectUserName,@timestamp,host,Hostname,EventID,SubjectLogonId,ProcessId,LogonType,TargetLogonId,WorkstationName,IpAddress,TargetUserName,PrivilegeList,CommandLine,ParentProcessName,NewProcessId,is_remote_logon,was_elevated,anomaly_score,detection_source,NewProcessPath,NewProcessName,ParentProcessNameOnly,suspicious_office_spawn,suspicious_svchost,exit_time,duration_seconds,obfuscated_command,pair_key,pair_frequency
,-,2020-05-02 03:19:27.116000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x0,0x4,0.0,0x3e7,-,-,SYSTEM,,,,,False,True,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\wininit.exe,SCRANTON$,2020-05-02 03:19:27.219000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x25c,2.0,0x828e,-,-,UMFD-0,,,,,False,False,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:19:27.221000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2b0,2.0,0x834a,-,-,UMFD-1,,,,,False,False,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:19:28.255000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2b0,2.0,0xdd9b,-,-,DWM-1,,,,,False,True,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:19:28.256000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2b0,2.0,0xddb8,-,-,DWM-1,,,,,False,True,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:20:47.620000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x14dc,2.0,0x12106a,-,-,UMFD-2,,,,,False,False,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:20:47.894000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x14dc,2.0,0x121a19,-,-,DWM-2,,,,,False,True,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:20:47.895000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x14dc,2.0,0x121a62,-,-,DWM-2,,,,,False,True,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\svchost.exe,SCRANTON$,2020-05-02 03:20:49.428000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x594,10.0,0x1305dc,SCRANTON,172.18.39.2,pbeesly,,,,,True,True,-1,logon_anomaly,,,,,,,,,,
C:\Windows\System32\svchost.exe,SCRANTON$,2020-05-02 03:20:49.429000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x594,10.0,0x13069a,SCRANTON,172.18.39.2,pbeesly,,,,,True,False,-1,logon_anomaly,,,,,,,,,,
